1	480	178	2002/04/18	21401.06
2	683	91	2000/08/27	24469.91
3	172	427	2002/03/24	16285.10
4	406	101	2002/01/12	36206.05
5	325	752	2003/02/22	35704.35
6	142	353	2001/01/29	26466.67
7	261	783	2003/05/09	10757.14
8	981	610	2002/07/04	28383.79
9	55	824	2004/08/05	32784.73
10	803	81	2001/06/13	19397.89
11	45	31	2001/11/13	33464.97
12	193	779	2003/05/11	34091.19
13	570	989	2002/06/09	32670.29
14	184	346	2004/02/17	31806.03
15	224	911	2002/12/18	34742.13
16	297	565	2001/05/28	14353.33
17	52	693	2004/01/11	20961.61
18	980	712	2004/02/01	32729.80
19	322	115	2000/03/24	28338.93
20	282	243	2002/09/06	38723.75
21	668	199	2003/03/06	21076.97
22	246	883	2004/08/18	11255.19
23	91	754	2003/04/05	39941.41
24	752	646	2003/09/28	12010.50
25	454	601	2002/06/16	35067.14
26	602	564	2002/12/24	24254.76
27	61	1	2001/07/26	38179.02
28	287	852	2003/12/02	36223.45
29	858	329	2001/05/10	39567.87
30	424	285	2001/10/27	20113.83
31	28	442	2003/02/19	12162.48
32	185	460	2001/06/15	23044.43
33	998	888	2000/09/09	28455.20
34	103	345	2002/03/06	11275.33
35	301	557	2001/07/28	14640.81
36	641	57	2003/06/07	37142.64
37	728	823	2000/11/10	18757.02
38	848	248	2003/10/21	13400.27
39	105	943	2000/08/21	34816.28
40	96	276	2003/06/11	15634.16
41	89	915	2003/05/22	11393.43
42	830	640	2000/05/21	23959.96
43	203	217	2002/10/10	29895.32
44	975	590	2004/01/22	14013.67
45	181	899	2004/12/01	33300.17
46	573	177	2003/07/31	28081.67
47	729	554	2004/11/29	39430.54
48	405	886	2005/09/30	13858.95
49	343	341	2001/02/03	12505.80
50	650	359	2003/04/01	34443.66
51	151	9	2003/06/17	21515.50
52	418	168	2002/09/10	22631.53
53	877	68	2004/01/27	32714.23
54	571	597	2000/07/23	39047.85
55	618	100	2002/04/14	24903.87
56	852	959	2003/01/28	10867.92
57	624	422	2004/07/02	28969.73
58	934	904	2003/06/18	39677.73
59	83	461	2003/08/31	36102.60
60	544	652	2003/11/12	27097.47
61	767	60	2004/01/15	10950.32
62	111	65	2003/08/05	28840.64
63	817	687	2001/06/15	25513.61
64	788	254	2004/02/27	35784.91
65	236	177	2002/09/18	25464.17
66	892	879	2002/05/04	28034.97
67	317	828	2001/09/26	11674.50
68	259	692	2004/10/19	28606.26
69	958	607	2003/08/26	14710.39
70	644	628	2003/06/27	31125.79
71	872	713	2004/07/19	37675.48
72	698	401	2001/07/15	14383.54
73	688	504	2003/01/30	11858.52
74	217	382	2004/05/24	39658.51
75	7	877	2002/06/16	28797.61
76	170	176	2001/12/01	17984.31
77	601	33	2003/02/16	20520.32
78	74	225	2003/06/23	27923.28
79	329	967	2004/08/31	25451.35
80	878	144	2002/03/27	23493.04
81	621	980	2003/04/02	19664.31
82	374	139	2001/06/11	20566.10
83	927	846	2001/11/21	10466.92
84	733	57	2005/02/05	21979.68
85	485	151	2000/11/06	10549.32
86	204	112	2001/09/30	30583.80
87	878	446	2000/10/22	34804.38
88	290	7	2002/12/17	39164.12
89	691	800	2003/04/18	37226.87
90	974	55	2004/02/05	10496.22
91	657	727	2002/03/22	10742.49
92	747	606	2000/07/02	33302.00
93	648	347	2002/09/24	37180.18
94	360	380	2004/01/21	14513.55
95	971	649	2003/10/16	26609.50
96	64	198	2003/01/13	18586.73
97	376	997	2004/03/25	23670.65
98	652	470	2004/01/07	34516.91
99	555	38	2003/01/31	12127.69
100	694	753	2002/06/13	34408.87
101	325	210	2005/04/30	36329.65
102	569	412	2002/04/07	37652.59
103	384	199	2000/06/06	28410.34
104	539	466	2002/04/08	15749.51
105	972	413	2003/11/01	31596.37
106	165	676	2001/07/23	28370.97
107	758	139	2005/01/29	11707.46
108	259	208	2001/01/19	25049.44
109	365	199	2003/02/02	19518.74
110	535	756	2000/07/26	32700.50
111	105	716	2003/12/03	34927.06
112	723	500	2000/10/27	30854.80
113	215	275	2001/09/03	18525.39
114	832	588	2000/02/23	37583.01
115	498	892	2001/10/14	36026.61
116	260	855	2001/03/24	23548.89
117	755	303	2000/07/02	14692.08
118	75	75	2004/08/06	23090.21
119	16	398	2002/03/12	17313.23
120	299	975	2001/12/23	13486.33
121	462	582	2004/01/06	37095.03
122	619	993	2003/01/02	30306.40
123	752	472	2001/03/28	24726.26
124	824	362	2004/11/18	11848.45
125	533	901	2004/12/29	25791.02
126	61	908	2003/06/10	12721.86
127	271	320	2002/03/21	11166.38
128	581	772	2001/09/05	19518.74
129	588	492	2001/07/05	24003.91
130	375	647	2004/01/13	13926.70
131	608	381	2002/11/12	32923.89
132	880	310	2003/11/30	34298.10
133	743	702	2003/01/01	11070.25
134	744	816	2002/01/12	29430.24
135	641	281	2001/07/02	13282.17
136	27	823	2001/08/18	11782.53
137	205	51	2003/10/09	27707.21
138	104	872	2002/04/01	35413.21
139	91	756	2004/02/05	32346.19
140	690	847	2003/01/24	30191.96
141	769	477	2004/05/23	30170.90
142	114	400	2002/07/06	22220.46
143	777	683	2000/06/01	17165.83
144	229	753	2003/09/20	24482.73
145	363	8	2001/10/04	34861.15
146	864	226	2003/01/31	35421.45
147	271	570	2003/05/26	31213.68
148	304	457	2004/05/22	30055.54
149	246	886	2001/09/03	19939.88
150	191	38	2002/10/14	32235.41
151	583	878	2003/05/15	37285.46
152	463	150	2004/05/02	31354.68
153	267	506	2001/09/04	25520.94
154	532	214	2002/06/24	36141.97
155	824	63	2003/12/09	32873.54
156	511	897	2003/01/12	25691.22
157	286	636	2003/11/10	39000.24
158	877	931	2002/07/23	37489.62
159	144	237	2003/12/06	32086.18
160	954	95	2003/08/11	27586.36
161	718	621	2004/08/10	17082.52
162	515	384	2002/07/09	32907.41
163	163	512	2000/11/19	13178.71
164	722	387	2004/10/25	23960.88
165	187	429	2003/10/20	21071.47
